Player,School,Hometown,Hometown State,Hometown Full,Hometown Coordinates,Hometown Lat,Hometown Lon
Luke Schmolke,Wake Forest,Mooresville,NC,"Mooresville, NC","(35.5848596, -80.8100724)",35.5848596,-80.8100724
Levi Strahm,Wake Forest,Lewisville,NC,"Lewisville, NC","(36.0970819, -80.4192216)",36.0970819,-80.4192216
Pirmin Brechbuhl,Wake Forest,Brookhaven,GA,"Brookhaven, GA","(33.8584368, -84.340203)",33.8584368,-84.340203
Jacob Burley,Wake Forest,Hollister,CA,"Hollister, CA","(36.8524545, -121.4016021)",36.8524545,-121.4016021
Joe Ariola,Wake Forest,Malverne,NY,"Malverne, NY","(40.6789916, -73.6740191)",40.6789916,-73.6740191
Dylan Zucker,Wake Forest,Locust Valley,NY,"Locust Valley, NY","(40.8757712, -73.5971927)",40.8757712,-73.5971927
Brody Shawn,Wake Forest,Alexandria,VA,"Alexandria, VA","(38.8051095, -77.0470229)",38.8051095,-77.0470229
Ryan Preisano,Wake Forest,Wilton,CT,"Wilton, CT","(41.1953739, -73.4378988)",41.1953739,-73.4378988
Alex Madera,North Carolina,Delran,NJ,"Delran, NJ","(40.0154905, -74.9550416)",40.0154905,-74.9550416
Reece Holbrook,North Carolina,Mt. Pleasant,SC,"Mt. Pleasant, SC","(32.7940651, -79.8625851)",32.7940651,-79.8625851
Colby Wilkerson,North Carolina,Oxford,NC,"Oxford, NC","(36.3107004, -78.5908345)",36.3107004,-78.5908345
Anthony Donofrio,North Carolina,Massapequa,NY,"Massapequa, NY","(40.6761472, -73.4696557)",40.6761472,-73.4696557
Gavin Gallaher,North Carolina,Apex,NC,"Apex, NC","(35.7325352, -78.8505516)",35.7325352,-78.8505516
Jackson Van De Brake,North Carolina,Yakima,WA,"Yakima, WA","(46.601557, -120.510842)",46.601557,-120.510842
Vance Honeycutt,North Carolina,Salisbury,NC,"Salisbury, NC","(35.6709727, -80.4742261)",35.6709727,-80.4742261
Patrick Alvarez,North Carolina,Charlotte,NC,"Charlotte, NC","(35.2272086, -80.8430827)",35.2272086,-80.8430827
Eliot Dix,North Carolina,Maplewood,NJ,"Maplewood, NJ","(40.7312123, -74.2734808)",40.7312123,-74.2734808
Ryker Galaska,North Carolina,Greenville,NC,"Greenville, NC","(35.613224, -77.3724593)",35.613224,-77.3724593
Parks Harber,North Carolina,Atlanta,GA,"Atlanta, GA","(33.7489924, -84.3902644)",33.7489924,-84.3902644
Cameron Padgett,North Carolina,Salisbury,NC,"Salisbury, NC","(35.6709727, -80.4742261)",35.6709727,-80.4742261
Casey Cook,North Carolina,Chantilly,VA,"Chantilly, VA","(38.8941543, -77.4311513)",38.8941543,-77.4311513
Boston Flannery,North Carolina,New City,NY,"New City, NY","(41.1469917, -73.9902998)",41.1469917,-73.9902998
Carter French,North Carolina,Tampa,FL,"Tampa, FL","(27.9477595, -82.458444)",27.9477595,-82.458444
Johnny Castagnozzi,North Carolina,Massapequa,NY,"Massapequa, NY","(40.6761472, -73.4696557)",40.6761472,-73.4696557
Kaleb Cost,North Carolina,Atlanta,GA,"Atlanta, GA","(33.7489924, -84.3902644)",33.7489924,-84.3902644
Alberto Osuna,North Carolina,Mauldin,SC,"Mauldin, SC","(34.77873, -82.310119)",34.77873,-82.310119
Matthew Matthijs,North Carolina,Greenville,NC,"Greenville, NC","(35.613224, -77.3724593)",35.613224,-77.3724593
Ben Peterson,North Carolina,Cary,NC,"Cary, NC","(35.7882893, -78.7812081)",35.7882893,-78.7812081
Kyle Percival,North Carolina,Lancaster,SC,"Lancaster, SC","(34.6628067, -80.700546)",34.6628067,-80.700546
Connor Bovair,North Carolina,Moreau,NY,"Moreau, NY","(43.2435198, -73.6667023)",43.2435198,-73.6667023
Shea Sprague,North Carolina,Hanover,MA,"Hanover, MA","(42.1131572, -70.8119859)",42.1131572,-70.8119859
Jason DeCaro,North Carolina,North Port,NY,"North Port, NY","(40.9009, -73.3432)",40.9009,-73.3432
Olin Johnson,North Carolina,Bellingham,WA,"Bellingham, WA","(48.7544012, -122.478836)",48.7544012,-122.478836
Francesco Capocci,North Carolina,Cumming,GA,"Cumming, GA","(34.2073196, -84.1401926)",34.2073196,-84.1401926
Folger Boaz,North Carolina,Pilot Mountain,NC,"Pilot Mountain, NC","(36.3401384, -80.4742242)",36.3401384,-80.4742242
Matt Poston,North Carolina,Hampton,SC,"Hampton, SC","(32.7861789, -81.1237271)",32.7861789,-81.1237271
Harrison Lewis,North Carolina,Winston-Salem,NC,"Winston-Salem, NC","(36.0998131, -80.2440518)",36.0998131,-80.2440518
Jacob Kirby,North Carolina,Waxhaw,NC,"Waxhaw, NC","(34.9248125, -80.7440174)",34.9248125,-80.7440174
Jake Knapp,North Carolina,Greensboro,NC,"Greensboro, NC","(36.0726355, -79.7919754)",36.0726355,-79.7919754
Tyler Parks,North Carolina,Asheboro,NC,"Asheboro, NC","(35.7079146, -79.8136446)",35.7079146,-79.8136446
Luke Stevenson,North Carolina,Wake Forest,NC,"Wake Forest, NC","(35.9803138, -78.5103731)",35.9803138,-78.5103731
Hunter Stokely,North Carolina,Wilson,NC,"Wilson, NC","(35.7212689, -77.9155395)",35.7212689,-77.9155395
Will Simmons,North Carolina,Sioux Falls,SD,"Sioux Falls, SD","(43.5476008, -96.7293629)",43.5476008,-96.7293629
Aidan Haugh,North Carolina,Zebulon,NC,"Zebulon, NC","(35.8221621, -78.3132126)",35.8221621,-78.3132126
Dalton Pence,North Carolina,Cherryville,NC,"Cherryville, NC","(35.3787442, -81.3789739)",35.3787442,-81.3789739
Hugh Collins,North Carolina,Clayton,NC,"Clayton, NC","(35.650711, -78.4563914)",35.650711,-78.4563914
Ryan Fischer,North Carolina,Whitehouse Station,NJ,"Whitehouse Station, NJ","(40.61538, -74.7704409)",40.61538,-74.7704409
Parker Haskin,North Carolina,Palm Beach Gardens,FL,"Palm Beach Gardens, FL","(26.8233946, -80.1386547)",26.8233946,-80.1386547
Mason Yokum,North Carolina,Holly Springs,NC,"Holly Springs, NC","(35.6512655, -78.8336218)",35.6512655,-78.8336218
Luke Osteen,North Carolina,Huntersville,NC,"Huntersville, NC","(35.4108278, -80.8429304)",35.4108278,-80.8429304
Ryan Hench,North Carolina,Hillsborough,NC,"Hillsborough, NC","(36.0752088, -79.0992085)",36.0752088,-79.0992085
Tyler Bischke,Pitt,Pittsburgh, PA ,"Pittsburgh,  PA ","(40.4416941, -79.9900861)",40.4416941,-79.9900861
Keeton Burroughs,Pitt,Odessa, FL ,"Odessa,  FL ","(28.183222, -82.55402792188)",28.183222,-82.55402792
Jake Kendro,Pitt,Pittsburgh, PA ,"Pittsburgh,  PA ","(40.4416941, -79.9900861)",40.4416941,-79.9900861
Austyn Winkleblech,Pitt,Canonsburg, PA ,"Canonsburg,  PA ","(40.2588431, -80.186732)",40.2588431,-80.186732
Dom Popa,Pitt,Pittsburgh, PA ,"Pittsburgh,  PA ","(40.4416941, -79.9900861)",40.4416941,-79.9900861
C.J. Funk,Pitt,Bellefonte, PA ,"Bellefonte,  PA ","(40.9134862, -77.7737471)",40.9134862,-77.7737471
Jonah St. Antoine,Pitt,Grand Rapids, MI ,"Grand Rapids,  MI ","(42.9632425, -85.6678639)",42.9632425,-85.6678639
Bryce Rudisill,Pitt,Gettysburg, PA ,"Gettysburg,  PA ","(39.8308973, -77.231012)",39.8308973,-77.231012
Justin Fogel,Pitt,Yardley, PA ,"Yardley,  PA ","(40.245664, -74.8459972)",40.245664,-74.8459972
Ryan Zuckerman,Pitt,Yardley, PA ,"Yardley,  PA ","(40.245664, -74.8459972)",40.245664,-74.8459972
Ethan Firoved,Pitt,Virginia Beach, VA ,"Virginia Beach,  VA ","(36.8529841, -75.9774183)",36.8529841,-75.9774183
Anthony LaSala,Pitt,Aliquippa, PA ,"Aliquippa,  PA ","(40.6102386, -80.267726)",40.6102386,-80.267726
Kyle Mosley,Pitt,Mansfield, TX ,"Mansfield,  TX ","(32.563487, -97.1420308)",32.563487,-97.1420308
Sebastian Pisacreta,Pitt,Moorestown, NJ ,"Moorestown,  NJ ","(39.9670569, -74.9426677)",39.9670569,-74.9426677
Gavin Chillot,Pitt,Springbrook Township, PA ,"Springbrook Township,  PA ","(41.3356378, -75.5746319)",41.3356378,-75.5746319
Joey Ciancimino,Pitt,Staten Island, NY ,"Staten Island,  NY ","(40.5724274, -74.14520777205962)",40.5724274,-74.14520777
Turner Grau,Pitt,Pittsburgh, PA ,"Pittsburgh,  PA ","(40.4416941, -79.9900861)",40.4416941,-79.9900861
Chris Baker,Pitt,Moorestown, NJ ,"Moorestown,  NJ ","(39.9670569, -74.9426677)",39.9670569,-74.9426677
Ryan Partridge,Pitt,Wexford, PA ,"Wexford,  PA ","(40.6264561, -80.055891)",40.6264561,-80.055891
Will Hummel,Pitt,Mechanicsburg, PA ,"Mechanicsburg,  PA ","(40.2101972, -77.0047276)",40.2101972,-77.0047276
Matt Porter,Pitt,Crystal Lake, IL ,"Crystal Lake,  IL ","(42.2411344, -88.3161965)",42.2411344,-88.3161965
Phil Fox,Pitt,Pittsburgh, PA ,"Pittsburgh,  PA ","(40.4416941, -79.9900861)",40.4416941,-79.9900861
Ryan Andrade,Pitt,Middletown, RI ,"Middletown,  RI ","(41.5456578, -71.2914388)",41.5456578,-71.2914388
Matthew Fernandez,Pitt,Miami, FL ,"Miami,  FL ","(25.7741728, -80.19362)",25.7741728,-80.19362
Kyle Demi,Pitt,Wexford, PA ,"Wexford,  PA ","(40.6264561, -80.055891)",40.6264561,-80.055891
Erubiel Candelario,Pitt,Bronx, NY ,"Bronx,  NY ","(40.8466508, -73.8785937)",40.8466508,-73.8785937
Luke Cantwell,Pitt,Warrington, PA ,"Warrington,  PA ","(40.2492741, -75.1340604)",40.2492741,-75.1340604
Kayden Faulcon,Pitt,Yardley, PA ,"Yardley,  PA ","(40.245664, -74.8459972)",40.245664,-74.8459972
Jayden Melendez,Pitt,Miami, FL ,"Miami,  FL ","(25.7741728, -80.19362)",25.7741728,-80.19362
Holden Phelps,Pitt,Crystal Lake, IL ,"Crystal Lake,  IL ","(42.2411344, -88.3161965)",42.2411344,-88.3161965
Richie Dell,Pitt,Bridgeville, PA ,"Bridgeville,  PA ","(40.3561805, -80.1100556)",40.3561805,-80.1100556
Ryan Reed,Pitt,Ridley Park, PA ,"Ridley Park,  PA ","(39.8805248, -75.3221004)",39.8805248,-75.3221004
Jack Sokol,Pitt,New Albany, OH ,"New Albany,  OH ","(40.0811745, -82.8087864)",40.0811745,-82.8087864
Aidan Coleman,Pitt,San Antonio, TX ,"San Antonio,  TX ","(29.4246002, -98.4951405)",29.4246002,-98.4951405
Ben Kovel,Pitt,Merrick, NY ,"Merrick,  NY ","(40.6628796, -73.551516)",40.6628796,-73.551516
Gavin Lill,Pitt,West Chester, PA ,"West Chester,  PA ","(39.9597213, -75.6059638)",39.9597213,-75.6059638
Nathan Beimel,Pitt,St. Mary's, PA ,"St. Mary's,  PA ","(40.8046943, -76.47198480060547)",40.8046943,-76.4719848
Josh Spiegel,Pitt,Pittsburgh, PA ,"Pittsburgh,  PA ","(40.4416941, -79.9900861)",40.4416941,-79.9900861
Alex Lodise,Florida State,St. Augustine,FL,"St. Augustine, FL","(29.8946952, -81.3145395)",29.8946952,-81.3145395
Titan Kamaka,Florida State,Orlando,FL,"Orlando, FL","(28.5421109, -81.3790304)",28.5421109,-81.3790304
Drew Faurot,Florida State,Tallahassee,FL,"Tallahassee, FL","(30.4380832, -84.2809332)",30.4380832,-84.2809332
Cal Fisher,Florida State,Deerfield,WI,"Deerfield, WI","(43.0519434, -89.0756675)",43.0519434,-89.0756675
Spencer Butt,Florida State,Davie,FL,"Davie, FL","(26.0628665, -80.2331038)",26.0628665,-80.2331038
Jaime Ferrer,Florida State,Bayamón,PR,"Bayamón, PR","(18.3990551, -66.1560326)",18.3990551,-66.1560326
Brennen Oxford,Florida State,Durham,NH,"Durham, NH","(43.134564, -70.927048)",43.134564,-70.927048
Carson Dorsey,Florida State,Panama City Beach,FL,"Panama City Beach, FL","(30.1765914, -85.805386)",30.1765914,-85.805386
Jordan Williams,Florida State,Odessa,FL,"Odessa, FL","(28.183222, -82.55402792188)",28.183222,-82.55402792
Conner Whittaker,Florida State,Sarasota,FL,"Sarasota, FL","(27.3365805, -82.5308545)",27.3365805,-82.5308545
Andrew Duncan,Florida State,Dunedin,FL,"Dunedin, FL","(28.0116627, -82.7893788)",28.0116627,-82.7893788
Connor Hults,Florida State,St. Johns,FL,"St. Johns, FL","(29.9032284, -81.4145468)",29.9032284,-81.4145468
Jamie Arnold,Florida State,Tampa,FL,"Tampa, FL","(27.9477595, -82.458444)",27.9477595,-82.458444
Yoel Tejeda Jr.,Florida State,Davie,FL,"Davie, FL","(26.0628665, -80.2331038)",26.0628665,-80.2331038
Max Williams,Florida State,Ormond Beach,FL,"Ormond Beach, FL","(29.2854132, -81.0557921)",29.2854132,-81.0557921
Riley Jackson,Florida State,Melbourne,FL,"Melbourne, FL","(28.106471, -80.6371513)",28.106471,-80.6371513
Jaxson West,Florida State,Tallahassee,FL,"Tallahassee, FL","(30.4380832, -84.2809332)",30.4380832,-84.2809332
Gavin Adams,Florida State,Boynton Beach,FL,"Boynton Beach, FL","(26.5256179, -80.0666026)",26.5256179,-80.0666026
James Tibbs III,Florida State,Marietta,GA,"Marietta, GA","(33.9528472, -84.5496148)",33.9528472,-84.5496148
Brody DeLamielleure,Florida State,St. Augustine,FL,"St. Augustine, FL","(29.8946952, -81.3145395)",29.8946952,-81.3145395
Cam Smith,Florida State,Lake Worth,FL,"Lake Worth, FL","(26.615891, -80.0691435)",26.615891,-80.0691435
McGwire Holbrook,Florida State,Orlando,FL,"Orlando, FL","(28.5421109, -81.3790304)",28.5421109,-81.3790304
Justin Best,Florida State,Cornelius,NC,"Cornelius, NC","(35.481705, -80.8590006)",35.481705,-80.8590006
DeAmez Ross,Florida State,Melbourne,FL,"Melbourne, FL","(28.106471, -80.6371513)",28.106471,-80.6371513
Jacob Marlowe,Florida State,Naples,FL,"Naples, FL","(26.1421976, -81.7942944)",26.1421976,-81.7942944
Cam Leiter,Florida State,Bayville,NJ,"Bayville, NJ","(39.9092852, -74.1548614)",39.9092852,-74.1548614
Ryan Denison,Florida State,Tampa,FL,"Tampa, FL","(27.9477595, -82.458444)",27.9477595,-82.458444
Daniel Cantu,Florida State,Jacksonville,FL,"Jacksonville, FL","(30.3321838, -81.655651)",30.3321838,-81.655651
Ben Barrett,Florida State,Orlando,FL,"Orlando, FL","(28.5421109, -81.3790304)",28.5421109,-81.3790304
Brady Louck,Florida State,Plainfield,IL,"Plainfield, IL","(41.6086711, -88.2054345)",41.6086711,-88.2054345
Noah Short,Florida State,Teays Valley,WV,"Teays Valley, WV","(38.449426, -81.9405368)",38.449426,-81.9405368
Andrew Armstrong,Florida State,Flowery Branch,GA,"Flowery Branch, GA","(34.1851017, -83.9251809)",34.1851017,-83.9251809
Joe Charles,Florida State,Celebration,FL,"Celebration, FL","(28.319057, -81.5408702)",28.319057,-81.5408702
Matt Sauser,Florida State,Bloomington,IL,"Bloomington, IL","(40.4797828, -88.9939147)",40.4797828,-88.9939147
David Barrett,Florida State,Sarasota,FL,"Sarasota, FL","(27.3365805, -82.5308545)",27.3365805,-82.5308545
Marco Dinges,Florida State,Beekman,NY,"Beekman, NY","(41.6109269, -73.7129076)",41.6109269,-73.7129076
Hudson Rowan,Florida State,Panama City,FL,"Panama City, FL","(30.1586518, -85.6602936)",30.1586518,-85.6602936
Matty Davis,Florida State,Palm Beach Gardens,FL,"Palm Beach Gardens, FL","(26.8233946, -80.1386547)",26.8233946,-80.1386547
Lance Trippel,Florida State,Sarasota,FL,"Sarasota, FL","(27.3365805, -82.5308545)",27.3365805,-82.5308545
James Hankerson Jr.,Florida State,Tampa,FL,"Tampa, FL","(27.9477595, -82.458444)",27.9477595,-82.458444
David Davila,Florida State,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7741728,-80.19362
John Abraham,Florida State,Tampa,FL,"Tampa, FL","(27.9477595, -82.458444)",27.9477595,-82.458444
Mason McDougall,Florida State,Tampa,FL,"Tampa, FL","(27.9477595, -82.458444)",27.9477595,-82.458444
Payton Manca,Florida State,Winchendon,MA,"Winchendon, MA","(42.6815126, -72.0499767)",42.6815126,-72.0499767
Drew Titsworth,Clemson,Frankenmuth,MI,"Frankenmuth, MI","(43.3323684, -83.7392288)",43.3323684,-83.7392288
Lleyton Lackey,Clemson,Evans,GA,"Evans, GA","(32.1613648, -81.8980725)",32.1613648,-81.8980725
Nolan Nawrocki,Clemson,Rockville Centre,NY,"Rockville Centre, NY","(40.6574186, -73.6450664)",40.6574186,-73.6450664
Jack Crighton,Clemson,Rochester Hills,MI,"Rochester Hills, MI","(42.6583661, -83.1499322)",42.6583661,-83.1499322
Cooper Blauser,Clemson,Johns Creek,GA,"Johns Creek, GA","(34.0181557, -84.190196)",34.0181557,-84.190196
Andrew Ciufo,Clemson,Medford,NY,"Medford, NY","(40.8175985, -73.0001068)",40.8175985,-73.0001068
Jacob Hinderleider,Clemson,Kaneohe,HI,"Kaneohe, HI","(21.4055, -157.7960716072044)",21.4055,-157.7960716
Blake Wright,Clemson,Belleair,FL,"Belleair, FL","(27.9358543, -82.8062139)",27.9358543,-82.8062139
Jacob Jarrell,Clemson,Florence,SC,"Florence, SC","(34.1984435, -79.7671658)",34.1984435,-79.7671658
Cam Cannarella,Clemson,Hartsville,SC,"Hartsville, SC","(34.3740431, -80.0734005)",34.3740431,-80.0734005
Mason Smith,Clemson,Lexington,SC,"Lexington, SC","(33.8986841, -81.275054)",33.8986841,-81.275054
Jimmy Obertop,Clemson,St. Louis,MO,"St. Louis, MO","(38.6280278, -90.1910154)",38.6280278,-90.1910154
Hideki Prather,Clemson,Oakland,CA,"Oakland, CA","(37.8044557, -122.271356)",37.8044557,-122.271356
B.J. Bailey,Clemson,Woodruff,SC,"Woodruff, SC","(34.7395701, -82.0370466)",34.7395701,-82.0370466
Reed Garris,Clemson,Mount Pleasant,SC,"Mount Pleasant, SC","(32.7940651, -79.8625851)",32.7940651,-79.8625851
Will Taylor,Clemson,Irmo,SC,"Irmo, SC","(34.08846885, -81.1802101384121)",34.08846885,-81.18021014
Alden Mathes,Clemson,Broomall,PA,"Broomall, PA","(39.9815001, -75.3565797)",39.9815001,-75.3565797
Tristan Smith,Clemson,Boiling Springs,SC,"Boiling Springs, SC","(35.04136, -81.97882024148419)",35.04136,-81.97882024
Aidan Knaak,Clemson,Fort Myers,FL,"Fort Myers, FL","(26.640628, -81.8723084)",26.640628,-81.8723084
Nick Clayton,Clemson,York,SC,"York, SC","(34.9603293, -81.1655408)",34.9603293,-81.1655408
Jay Dillard,Clemson,Anderson,SC,"Anderson, SC","(34.5258335, -82.652962)",34.5258335,-82.652962
Nathan Hall,Clemson,Lexington,SC,"Lexington, SC","(33.8986841, -81.275054)",33.8986841,-81.275054
Jarren Purify,Clemson,Detroit,MI,"Detroit, MI","(42.3315509, -83.0466403)",42.3315509,-83.0466403
Ty Olenchuk,Clemson,Irmo,SC,"Irmo, SC","(34.08846885, -81.1802101384121)",34.08846885,-81.18021014
Luke Brown,Clemson,Apex,NC,"Apex, NC","(35.7325352, -78.8505516)",35.7325352,-78.8505516
Casey Tallent,Clemson,Hartwell,GA,"Hartwell, GA","(34.3528825, -82.932087)",34.3528825,-82.932087
Tristan Bissetta,Clemson,Greenville,SC,"Greenville, SC","(34.851354, -82.3984882)",34.851354,-82.3984882
Joe Allen,Clemson,Hampton Falls,NH,"Hampton Falls, NH","(42.9280119, -70.88806837480472)",42.9280119,-70.88806837
Billy Barlow,Clemson,North Myrtle Beach,SC,"North Myrtle Beach, SC","(33.8278405, -78.6800323)",33.8278405,-78.6800323
Jacob McGovern,Clemson,Seneca,SC,"Seneca, SC","(34.6865321, -82.9527288)",34.6865321,-82.9527288
Nick Couch,Clemson,Greenville,SC,"Greenville, SC","(34.851354, -82.3984882)",34.851354,-82.3984882
Justin LeGuernic,Clemson,Dix Hills,NY,"Dix Hills, NY","(40.8048207, -73.3362298)",40.8048207,-73.3362298
Noah Samol,Clemson,Mason,OH,"Mason, OH","(39.3600586, -84.309939)",39.3600586,-84.309939
Matthew Marchal,Clemson,Greenville,SC,"Greenville, SC","(34.851354, -82.3984882)",34.851354,-82.3984882
Jackson Cole,Clemson,Boiling Springs,SC,"Boiling Springs, SC","(35.04136, -81.97882024148419)",35.04136,-81.97882024
Ethan Darden,Clemson,Rock Hill,SC,"Rock Hill, SC","(34.9248667, -81.0250784)",34.9248667,-81.0250784
Brodey Conn,Clemson,Clemson,SC,"Clemson, SC","(34.6850749, -82.8364111)",34.6850749,-82.8364111
Nathan Dvorsky,Clemson,Suwanee,GA,"Suwanee, GA","(34.0514898, -84.0712997)",34.0514898,-84.0712997
Devin Parks,Clemson,Fort Mill,SC,"Fort Mill, SC","(35.0073697, -80.9450759)",35.0073697,-80.9450759
Ty Marshall,Clemson,Cayce,SC,"Cayce, SC","(33.9657091, -81.0739827)",33.9657091,-81.0739827
Lucas Mahlstedt,Clemson,Ormond Beach,FL,"Ormond Beach, FL","(29.2854132, -81.0557921)",29.2854132,-81.0557921
Rob Hughes,Clemson,Rock Hill,SC,"Rock Hill, SC","(34.9248667, -81.0250784)",34.9248667,-81.0250784
Chance Fitzgerald,Clemson,Sanford,FL,"Sanford, FL","(28.8117345, -81.2680223)",28.8117345,-81.2680223
Rocco Reid,Clemson,Greenville,SC,"Greenville, SC","(34.851354, -82.3984882)",34.851354,-82.3984882
Tryston McCladdie,Clemson,Harlem,GA,"Harlem, GA","(33.4145834, -82.3126237)",33.4145834,-82.3126237
Austin Gordon,Clemson,Myrtle Beach,SC,"Myrtle Beach, SC","(33.6956461, -78.8900409)",33.6956461,-78.8900409
Alex Alicea,Louisville,Milwaukee,WI,"Milwaukee, WI","(43.0386475, -87.9090751)",43.0386475,-87.9090751
Patrick Forbes,Louisville,Bowling Green,KY,"Bowling Green, KY","(36.9903199, -86.4436018)",36.9903199,-86.4436018
Logan Beard,Louisville,Louisville,KY,"Louisville, KY","(38.2542376, -85.759407)",38.2542376,-85.759407
Will Vierling,Louisville,Mequon,WI,"Mequon, WI","(43.2219088, -87.9822969)",43.2219088,-87.9822969
Gavin Kilen,Louisville,Milton,WI,"Milton, WI","(42.7753567, -88.9390017)",42.7753567,-88.9390017
Noah Bush,Louisville,Waverly,MN,"Waverly, MN","(45.0666303, -93.9663609)",45.0666303,-93.9663609
Kade Grundy,Louisville,Somerset,KY,"Somerset, KY","(37.0920222, -84.6041084)",37.0920222,-84.6041084
Brandon Anderson,Louisville,Richmond,KY,"Richmond, KY","(37.7478572, -84.2946539)",37.7478572,-84.2946539
Dylan Hoy,Louisville,Suffern,NY,"Suffern, NY","(41.1151372, -74.1493948)",41.1151372,-74.1493948
Carson Liggett,Louisville,Overland Park,KA,"Overland Park, KA","(35.144303449999995, -81.96619956324727)",35.14430345,-81.96619956
Ty Starke,Louisville,Louisville,KY,"Louisville, KY","(38.2542376, -85.759407)",38.2542376,-85.759407
JT Benson,Louisville,Crestwood,KY,"Crestwood, KY","(38.3235441, -85.4726215)",38.3235441,-85.4726215
George Baker,Louisville,Waldorf,MD,"Waldorf, MD","(38.6263882, -76.9106581)",38.6263882,-76.9106581
Colton Hartman,Louisville,Lebanon,OH,"Lebanon, OH","(39.4353373, -84.2029922)",39.4353373,-84.2029922
Michael Lippe,Louisville,Whitefish Bay,WI,"Whitefish Bay, WI","(43.1133445, -87.9000856)",43.1133445,-87.9000856
Kyle Crow,Louisville,Fenton,MI,"Fenton, MI","(42.7978061, -83.7049498)",42.7978061,-83.7049498
Will Koger,Louisville,Bardstown,KY,"Bardstown, KY","(37.8092463, -85.4669015)",37.8092463,-85.4669015
TJ Schlageter,Louisville,Romeoville,IL,"Romeoville, IL","(41.6475306, -88.0895061)",41.6475306,-88.0895061
Korbyn Dickerson,Louisville,Jeffersonville,IN,"Jeffersonville, IN","(38.2770227, -85.7371604)",38.2770227,-85.7371604
Tucker Biven,Louisville,New Albany,IN,"New Albany, IN","(38.2856247, -85.8241312)",38.2856247,-85.8241312
Wyatt Danilowicz,Louisville,Traverse City,MI,"Traverse City, MI","(44.7606481, -85.6165976)",44.7606481,-85.6165976
Matt Klein,Louisville,Louisville,KY,"Louisville, KY","(38.2542376, -85.759407)",38.2542376,-85.759407
Sebastian Gongora,Louisville,Dayton,OH,"Dayton, OH","(39.7589478, -84.1916069)",39.7589478,-84.1916069
Evan Webster,Louisville,Union,KY,"Union, KY","(37.637247, -87.958036)",37.637247,-87.958036
Parker Detmers,Louisville,Chatham,IL,"Chatham, IL","(39.676163, -89.7045439)",39.676163,-89.7045439
Ryan McCoy,Louisville,Frankfort,IL,"Frankfort, IL","(41.4958665, -87.8486613)",41.4958665,-87.8486613
Zion Rose,Louisville,Chicago,IL,"Chicago, IL","(41.8755616, -87.6244212)",41.8755616,-87.6244212
Mitchell Dean,Louisville,Russiaville,IN,"Russiaville, IN","(40.4175374, -86.2713849)",40.4175374,-86.2713849
Jared Lessman,Louisville,Cumberland,WI,"Cumberland, WI","(45.5326798, -92.0213472)",45.5326798,-92.0213472
Luke Napleton,Louisville,LaGrange,IL,"LaGrange, IL","(39.9396935, -90.5349286)",39.9396935,-90.5349286
Tagger Tyson,Louisville,Mount Pleasant,SC,"Mount Pleasant, SC","(32.7940651, -79.8625851)",32.7940651,-79.8625851
Morgan Davis,Louisville,Bedford,NY,"Bedford, NY","(41.2041304, -73.642509)",41.2041304,-73.642509
Jake Karaba,Louisville,Naperville,IL,"Naperville, IL","(41.7728699, -88.1479278)",41.7728699,-88.1479278
Jake Murphy,Louisville,Kingsville,OH,"Kingsville, OH","(41.890774, -80.6766179)",41.890774,-80.6766179
Riley Phillips,Louisville,Godfrey,IL,"Godfrey, IL","(38.9556031, -90.1867765)",38.9556031,-90.1867765
Eddie King Jr.,Louisville,Lynwood,IL,"Lynwood, IL","(41.5255648, -87.54056)",41.5255648,-87.54056
Braxton Stewart,Louisville,Winston-Salem,NC,"Winston-Salem, NC","(36.0998131, -80.2440518)",36.0998131,-80.2440518
Dan Snyder,Louisville,Erie,PA,"Erie, PA","(42.1294712, -80.0852695)",42.1294712,-80.0852695
Justin West,Louisville,Paducah,KY,"Paducah, KY","(37.0833893, -88.6000478)",37.0833893,-88.6000478
Thomas Howard,Louisville,Lexington,KY,"Lexington, KY","(38.0464066, -84.4970393)",38.0464066,-84.4970393
Kayden Campbell,Louisville,Cincinnati,OH,"Cincinnati, OH","(39.1014537, -84.5124602)",39.1014537,-84.5124602
Josh Klug,Louisville,Traverse City,MI,"Traverse City, MI","(44.7606481, -85.6165976)",44.7606481,-85.6165976
Isaac Humphrey,Louisville,Livermore,KY,"Livermore, KY","(37.4931026, -87.1319409)",37.4931026,-87.1319409
Lucas Moore,Louisville,Cincinnati,OH,"Cincinnati, OH","(39.1014537, -84.5124602)",39.1014537,-84.5124602
Kaleb Corbett,Louisville,Louisville,KY,"Louisville, KY","(38.2542376, -85.759407)",38.2542376,-85.759407
Luke Nixon,NC State,Wilmington,NC,"Wilmington, NC","(34.2257282, -77.9447107)",34.2257282,-77.9447107
Carson Falsken,NC State,Newbury Park,CA,"Newbury Park, CA","(34.183671, -118.91183)",34.183671,-118.91183
Noah Soles,NC State,Thomasville,NC,"Thomasville, NC","(35.8831786, -80.081817)",35.8831786,-80.081817
Brandon Butterworth,NC State,Monroe,NC,"Monroe, NC","(34.9854275, -80.5495112)",34.9854275,-80.5495112
Matt Heavner,NC State,Lincolnton,NC,"Lincolnton, NC","(35.473745, -81.2545251)",35.473745,-81.2545251
